customerID,data_aquisicao,canal_aquisicao,codigo_campanha
7590-VHVEG,2025-10-01,Website,BLACKFRIDAY
5575-GNVDE,2023-01-01,Telefone,OUTBOUND_CALL
3668-QPYBK,2025-09-01,Telefone,OUTBOUND_CALL
7795-CFOCW,2022-02-01,Loja Física,WALK_IN
9237-HQITU,2025-09-01,Website,ORGANIC
9305-CDSKC,2025-03-01,Telefone,OUTBOUND_CALL
1452-KIOVK,2024-01-01,Telefone,INBOUND
6713-OKOMC,2025-01-01,Website,PPC_GOOGLE
7892-POOKP,2023-07-01,Telefone,TV_ADS_Q3
6388-TABGU,2020-09-01,Telefone,TV_ADS_Q3
9763-GRSKD,2024-10-01,Telefone,TV_ADS_Q3
7469-LKBCI,2024-07-01,Loja Física,EVENTO_LOCAL
8091-TTVAX,2021-01-01,Telefone,TV_ADS_Q3
0280-XJGEX,2021-10-01,Website,PPC_GOOGLE
5129-JLPIS,2023-10-01,Telefone,OUTBOUND_CALL
3655-SNQYZ,2020-02-01,Loja Física,WALK_IN
8191-XWSZG,2021-07-01,Parceiro,PARTNER_SITE
9959-WOFKT,2019-12-01,Telefone,TV_ADS_Q3
4190-MFLUW,2025-01-01,Website,ORGANIC
4183-MYFRB,2024-02-01,Telefone,TV_ADS_Q3
8779-QRDMV,2025-10-01,Website,ORGANIC
1680-VDCWW,2024-11-01,Loja Física,WALK_IN
1066-JKSGK,2025-10-01,Telefone,INBOUND
3638-WEABW,2021-01-01,Loja Física,WALK_IN
6322-HRPFA,2021-10-01,Website,BLACKFRIDAY
6865-JZNKO,2023-05-01,Telefone,INBOUND
6467-CHFZW,2021-12-01,Website,PPC_GOOGLE
8665-UTDHZ,2025-10-01,Website,ORGANIC
5248-YGIJN,2019-11-01,Loja Física,WALK_IN
8773-HHUOZ,2024-06-01,Telefone,TV_ADS_Q3
3841-NFECX,2019-12-01,Telefone,TV_ADS_Q3
4929-XIHVW,2025-09-01,Website,PPC_GOOGLE
6827-IEAUQ,2023-08-01,Loja Física,EVENTO_LOCAL
7310-EGVHZ,2025-10-01,Website,ORGANIC
3413-BMNZE,2025-10-01,Website,BLACKFRIDAY
6234-RAAPL,2019-11-01,Telefone,INBOUND
6047-YHPVI,2025-06-01,Website,PPC_GOOGLE
6572-ADKRS,2022-01-01,Website,ORGANIC
5380-WJKOV,2023-01-01,Website,BLACKFRIDAY
8168-UQWWF,2024-12-01,Website,ORGANIC
8865-TNMNX,2025-01-01,Telefone,INBOUND
9489-DEDVP,2020-01-01,Parceiro,PARTNER_SITE
9867-JCZSP,2024-06-01,Loja Física,EVENTO_LOCAL
4671-VJLCL,2020-08-01,Telefone,OUTBOUND_CALL
4080-IIARD,2024-10-01,Website,ORGANIC
3714-NTNFO,2021-10-01,Website,PPC_GOOGLE
5948-UJZLF,2025-09-01,Website,PPC_GOOGLE
7760-OYPDY,2025-09-01,Website,ORGANIC
7639-LIAYI,2021-07-01,Telefone,INBOUND
2954-PIBKO,2020-02-01,Parceiro,REFERRAL
8012-SOUDQ,2022-04-01,Website,BLACKFRIDAY
9420-LOJKX,2024-08-01,Website,ORGANIC
6575-SUVOI,2023-10-01,Website,BLACKFRIDAY
7495-OOKFY,2025-03-01,Website,BLACKFRIDAY
4667-QONEA,2020-11-01,Loja Física,WALK_IN
1658-BYGOY,2024-05-01,Website,ORGANIC
8769-KKTPH,2020-08-01,Loja Física,EVENTO_LOCAL
5067-XJQFU,2020-05-01,Loja Física,EVENTO_LOCAL
3957-SQXML,2023-01-01,Loja Física,EVENTO_LOCAL
5954-BDFSG,2019-11-01,Loja Física,EVENTO_LOCAL
0434-CSFON,2021-12-01,Website,PPC_GOOGLE
1215-FIGMP,2020-11-01,Telefone,INBOUND
0526-SXDJP,2019-11-01,Loja Física,WALK_IN
0557-ASKVU,2024-05-01,Telefone,OUTBOUND_CALL
5698-BQJOH,2025-02-01,Telefone,OUTBOUND_CALL
5122-CYFXA,2025-08-01,Telefone,INBOUND
8627-ZYGSZ,2021-12-01,Telefone,TV_ADS_Q3
3410-YOQBQ,2023-04-01,Parceiro,PARTNER_SITE
3170-NMYVV,2021-09-01,Parceiro,REFERRAL
7410-OIEDU,2025-01-01,Telefone,INBOUND
2273-QCKXA,2025-10-01,Website,ORGANIC
0731-EBJQB,2021-07-01,Loja Física,WALK_IN
1891-QRQSA,2020-07-01,Parceiro,PARTNER_SITE
8028-PNXHQ,2020-09-01,Loja Física,EVENTO_LOCAL
5630-AHZIL,2025-08-01,Website,ORGANIC
2673-CXQEU,2021-03-01,Telefone,INBOUND
6416-JNVRK,2022-01-01,Loja Física,WALK_IN
5590-ZSKRV,2025-03-01,Website,PPC_GOOGLE
0191-ZHSKZ,2023-05-01,Website,BLACKFRIDAY
3887-PBQAO,2022-02-01,Parceiro,PARTNER_SITE
5919-TMRGD,2025-10-01,Telefone,OUTBOUND_CALL
8108-UXRQN,2024-12-01,Website,ORGANIC
9191-MYQKX,2025-04-01,Website,BLACKFRIDAY
9919-YLNNG,2022-05-01,Telefone,TV_ADS_Q3
0318-ZOPWS,2021-10-01,Loja Física,EVENTO_LOCAL
4445-ZJNMU,2025-02-01,Website,PPC_GOOGLE
4808-YNLEU,2022-12-01,Telefone,TV_ADS_Q3
1862-QRWPE,2021-11-01,Parceiro,PARTNER_SITE
2796-NNUFI,2022-01-01,Parceiro,PARTNER_SITE
3016-KSVCP,2023-06-01,Website,ORGANIC
4767-HZZHQ,2023-05-01,Website,ORGANIC
2424-WVHPL,2025-10-01,Telefone,INBOUND
7233-PAHHL,2020-05-01,Telefone,INBOUND
6067-NGCEU,2020-06-01,Telefone,OUTBOUND_CALL
9848-JQJTX,2019-11-01,Parceiro,PARTNER_SITE
8637-XJIVR,2024-11-01,Telefone,OUTBOUND_CALL
9803-FTJCG,2019-12-01,Parceiro,PARTNER_SITE
0278-YXOOG,2025-06-01,Website,BLACKFRIDAY
3212-KXOCR,2021-07-01,Loja Física,WALK_IN
4598-XLKNJ,2023-10-01,Website,ORGANIC
6380-ARCEH,2025-10-01,Website,PPC_GOOGLE
3679-XASPY,2025-10-01,Website,ORGANIC
7123-WQUHX,2022-09-01,Telefone,INBOUND
5386-THSLQ,2020-05-01,Loja Física,WALK_IN
3192-NQECA,2020-03-01,Loja Física,EVENTO_LOCAL
6180-YBIQI,2025-06-01,Website,BLACKFRIDAY
6728-DKUCO,2019-11-01,Loja Física,EVENTO_LOCAL
9750-BOOHV,2023-03-01,Telefone,INBOUND
8597-CWYHH,2022-04-01,Loja Física,EVENTO_LOCAL
2848-YXSMW,2019-11-01,Loja Física,EVENTO_LOCAL
0486-HECZI,2021-04-01,Website,ORGANIC
4549-ZDQYY,2021-07-01,Telefone,TV_ADS_Q3
5712-AHQNN,2022-04-01,Website,ORGANIC
4846-WHAFZ,2022-10-01,Telefone,OUTBOUND_CALL
5256-SKJGO,2020-07-01,Parceiro,REFERRAL
3071-VBYPO,2025-08-01,Telefone,TV_ADS_Q3
9560-BBZXK,2022-11-01,Telefone,INBOUND
5299-RULOA,2025-01-01,Website,BLACKFRIDAY
8402-OOOHJ,2022-06-01,Loja Física,EVENTO_LOCAL
9445-ZUEQE,2023-08-01,Telefone,TV_ADS_Q3
1091-SOZGA,2021-03-01,Loja Física,EVENTO_LOCAL
2928-HLDBA,2025-05-01,Website,BLACKFRIDAY
0404-SWRVG,2025-08-01,Telefone,INBOUND
6497-TILVL,2025-04-01,Website,ORGANIC
7219-TLZHO,2025-07-01,Telefone,OUTBOUND_CALL
4622-YNKIJ,2023-02-01,Telefone,OUTBOUND_CALL
4412-YLTKF,2023-08-01,Website,PPC_GOOGLE
6734-PSBAW,2019-11-01,Loja Física,WALK_IN
3930-ZGWVE,2025-10-01,Website,PPC_GOOGLE
2639-UGMAZ,2019-12-01,Loja Física,WALK_IN
2876-GZYZC,2024-10-01,Website,BLACKFRIDAY
6207-WIOLX,2023-10-01,Telefone,TV_ADS_Q3
8587-XYZSF,2020-04-01,Loja Física,WALK_IN
3091-FYHKI,2025-10-01,Website,BLACKFRIDAY
2372-HWUHI,2025-09-01,Telefone,TV_ADS_Q3
7799-LGRDP,2022-04-01,Loja Física,EVENTO_LOCAL
7850-VWJUU,2023-12-01,Website,BLACKFRIDAY
3774-VBNXY,2020-07-01,Telefone,TV_ADS_Q3
6217-KDYWC,2021-02-01,Loja Física,EVENTO_LOCAL
0390-DCFDQ,2025-10-01,Website,PPC_GOOGLE
3146-MSEGF,2019-11-01,Loja Física,EVENTO_LOCAL
4080-OGPJL,2025-03-01,Website,BLACKFRIDAY
1095-WGNGG,2020-10-01,Loja Física,WALK_IN
2636-SJDOU,2020-07-01,Parceiro,REFERRAL
1131-QQZEB,2019-12-01,Parceiro,REFERRAL
5716-EZXZN,2020-06-01,Loja Física,WALK_IN
6837-BJYDQ,2025-08-01,Telefone,INBOUND
2135-RXIHG,2025-10-01,Telefone,INBOUND
6440-DKQGE,2023-05-01,Loja Física,WALK_IN
3466-BYAVD,2024-08-01,Telefone,INBOUND
3780-YVMFA,2025-03-01,Telefone,INBOUND
3874-EQOEP,2025-04-01,Website,BLACKFRIDAY
1679-JRFBR,2020-01-01,Loja Física,EVENTO_LOCAL
9073-ZZIAY,2020-09-01,Loja Física,EVENTO_LOCAL
3077-RSNTJ,2025-05-01,Website,BLACKFRIDAY
6551-GNYDG,2024-09-01,Website,BLACKFRIDAY
9167-APMXZ,2024-01-01,Website,BLACKFRIDAY
2749-CTKAJ,2024-01-01,Telefone,OUTBOUND_CALL
6371-NZYEG,2024-07-01,Loja Física,EVENTO_LOCAL
7554-NEWDD,2025-01-01,Loja Física,EVENTO_LOCAL
8992-VONJD,2024-10-01,Website,BLACKFRIDAY
0867-MKZVY,2024-03-01,Website,PPC_GOOGLE
4482-EWFMI,2025-09-01,Website,ORGANIC
