customerID	gender	SeniorCitizen	Partner	Dependents	tenure	PhoneService	MultipleLines	InternetService	OnlineSecurity	OnlineBackup	DeviceProtection	TechSupport	StreamingTV	StreamingMovies	Contract	PaperlessBilling	PaymentMethod	MonthlyCharges	TotalCharges	Churn
sdv-id-pJvgxt	Male	0	Yes	No	48	Yes	No	DSL	No	Yes	No	No	No	Yes	Month-to-month	Yes	Bank transfer (automatic)	110.84	5440.93	Yes
sdv-id-QZoJix	Male	0	No	Yes	5	Yes	No	Fiber optic	Yes	Yes	Yes	No	Yes	Yes	Two year	No	Credit card (automatic)	28.86	308.28	No
sdv-id-sUpodm	Female	0	Yes	Yes	1	Yes	No	Fiber optic	No	No internet service	Yes	Yes	No	No	Month-to-month	No	Electronic check	56.15	22.52	Yes
sdv-id-VQZvMN	Female	0	Yes	No	72	No	Yes	DSL	Yes	No	Yes	No internet service	Yes	No internet service	One year	Yes	Credit card (automatic)	70.14	7143.85	No
sdv-id-fHaBym	Male	1	No	No	29	Yes	Yes	Fiber optic	No	Yes	Yes	No	No	No	Month-to-month	Yes	Electronic check	118.27	6030.29	No
sdv-id-vZLBtQ	Male	0	Yes	No	40	No	No phone service	No	Yes	No internet service	No internet service	No internet service	No internet service	Yes	One year	No	Credit card (automatic)	33.42	4237.09	No
sdv-id-bsSPKa	Male	1	Yes	No	16	Yes	No phone service	Fiber optic	No	No	Yes	No	No	No	Month-to-month	Yes	Electronic check	28.74	131.53	Yes
sdv-id-REEpbp	Male	1	No	No	1	Yes	No	DSL	No	No internet service	No	No	No	No	Month-to-month	No	Electronic check	101.81	250.27	Yes
sdv-id-dSElnr	Male	0	Yes	No	7	Yes	No	DSL	No	No	No	No	No	No	Month-to-month	No	Electronic check	91.33	423.27	No
sdv-id-jZVxJd	Female	1	Yes	No	20	Yes	Yes	DSL	No	Yes	No	No	No	No	Month-to-month	Yes	Electronic check	118.68	6501.19	Yes
sdv-id-WXkorf	Male	0	No	No	23	Yes	Yes	DSL	No	Yes	No	No	No	No	Month-to-month	Yes	Credit card (automatic)	118.59	6330.4	No
sdv-id-QUoJOA	Male	0	No	No	10	Yes	No	Fiber optic	No	No internet service	No	No internet service	Yes	Yes	Month-to-month	Yes	Electronic check	41.13	1179.47	Yes
sdv-id-lmdzUR	Male	0	Yes	No	36	Yes	No	Fiber optic	Yes	No	Yes	Yes	Yes	No	One year	Yes	Credit card (automatic)	40.96	517.23	No
sdv-id-bjwkpo	Male	0	No	Yes	1	Yes	Yes	Fiber optic	No	No	No	No	Yes	No	Month-to-month	No	Electronic check	60.68	46.62	No
sdv-id-ZAiBUM	Female	0	No	No	1	Yes	No	Fiber optic	Yes	No internet service	Yes	No internet service	Yes	Yes	Month-to-month	Yes	Electronic check	23.01	27.55	No
sdv-id-TJRNGW	Male	0	No	No	7	Yes	No	DSL	No	Yes	No	No	No	No	Month-to-month	Yes	Mailed check	89.89	1044.07	No
sdv-id-PtHatA	Female	1	Yes	No	65	Yes	No	No	Yes	No internet service	Yes	No internet service	No internet service	Yes	One year	No	Credit card (automatic)	38.01	1839.63	Yes
sdv-id-OASRxR	Male	0	Yes	No	3	Yes	Yes	Fiber optic	Yes	No	No	No	No	No	Month-to-month	Yes	Bank transfer (automatic)	81.7	713.93	Yes
sdv-id-HWMHji	Female	0	Yes	No	43	Yes	Yes	No	No internet service	No	No internet service	No internet service	No	No internet service	Two year	No	Bank transfer (automatic)	46.04	3528.67	No
sdv-id-eARzce	Male	0	No	No	6	Yes	No	Fiber optic	No internet service	No	Yes	No internet service	No internet service	No internet service	Month-to-month	No	Mailed check	24.8	157.07	No
sdv-id-JRqtoJ	Male	0	Yes	No	72	Yes	Yes	Fiber optic	Yes	Yes	Yes	Yes	No	Yes	Two year	No	Credit card (automatic)	102.13	8639.53	No
sdv-id-LhzQFb	Male	0	No	Yes	1	Yes	Yes	Fiber optic	No	No internet service	No	No	Yes	No internet service	One year	No	Mailed check	22.32	19.76	No
sdv-id-yizlfe	Female	0	No	No	19	Yes	No	Fiber optic	No internet service	No internet service	No internet service	No internet service	Yes	No internet service	Month-to-month	Yes	Electronic check	18.45	128.6	No
sdv-id-uCOpIY	Female	0	No	Yes	5	Yes	No phone service	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Two year	No	Credit card (automatic)	18.25	18.82	No
sdv-id-DFcOGw	Male	0	No	Yes	11	Yes	No	DSL	Yes	No internet service	No	No internet service	Yes	No internet service	Two year	No	Credit card (automatic)	18.58	71.37	No
sdv-id-GfZiwb	Male	1	Yes	No	6	Yes	No	Fiber optic	No	Yes	No	No	Yes	Yes	Month-to-month	Yes	Mailed check	97.84	369.44	Yes
sdv-id-wejIoO	Female	0	No	Yes	38	No	No	Fiber optic	No	No	No	No	Yes	No internet service	Two year	Yes	Credit card (automatic)	73.92	2841.11	No
sdv-id-tlDpIK	Male	0	No	No	2	Yes	No	DSL	No	Yes	No	No	No	No	Month-to-month	No	Electronic check	82.66	399.52	No
sdv-id-knRFhK	Female	1	Yes	Yes	53	Yes	No	DSL	No	Yes	No	No	No	No	Month-to-month	Yes	Mailed check	118.56	7210.37	Yes
sdv-id-ekPSxb	Male	0	No	No	44	Yes	Yes	Fiber optic	No	No	No	No	Yes	Yes	Month-to-month	Yes	Credit card (automatic)	46.1	277.39	No
sdv-id-piTHyQ	Female	0	Yes	Yes	71	Yes	No	No	No internet service	No internet service	No internet service	No internet service	Yes	No internet service	Two year	Yes	Bank transfer (automatic)	22.33	4056.13	No
sdv-id-yVnEaH	Female	0	Yes	No	2	Yes	No phone service	Fiber optic	No	No internet service	Yes	Yes	No	No	Month-to-month	Yes	Electronic check	21.15	19.17	Yes
sdv-id-IPnOHm	Female	0	Yes	No	47	Yes	No	Fiber optic	Yes	Yes	No	No	No	No	One year	No	Bank transfer (automatic)	81.54	3797.36	No
sdv-id-xNtYmG	Male	0	No	No	9	Yes	No	Fiber optic	No internet service	No internet service	No internet service	No internet service	Yes	No internet service	One year	No	Mailed check	21.3	187.75	No
sdv-id-HrqiQU	Male	0	Yes	No	68	Yes	Yes	DSL	No	No internet service	No internet service	No internet service	Yes	Yes	Two year	Yes	Bank transfer (automatic)	49.84	1446.97	No
sdv-id-sbAwrO	Female	0	Yes	No	2	Yes	No	Fiber optic	Yes	No	No	No	No	No	Month-to-month	Yes	Bank transfer (automatic)	35.43	182.41	No
sdv-id-dQCoKl	Female	0	No	No	70	Yes	Yes	Fiber optic	No	No	No	No internet service	Yes	Yes	Two year	Yes	Electronic check	50.95	2338.67	Yes
sdv-id-ATuhOL	Male	0	Yes	No	38	No	Yes	Fiber optic	Yes	No internet service	No internet service	No internet service	No internet service	No internet service	Two year	No	Mailed check	22.88	403.67	No
sdv-id-fcdrWN	Female	0	No	Yes	3	Yes	No phone service	Fiber optic	No internet service	No internet service	No internet service	Yes	No internet service	No internet service	Month-to-month	No	Credit card (automatic)	18.29	27.78	No
sdv-id-ekgNmC	Male	0	No	No	71	Yes	Yes	Fiber optic	Yes	Yes	Yes	No internet service	Yes	No internet service	Two year	No	Mailed check	112.86	7719.06	No
sdv-id-KXUeye	Female	0	Yes	Yes	52	Yes	Yes	Fiber optic	Yes	No	Yes	No internet service	No internet service	No internet service	Two year	Yes	Mailed check	33.83	2346.85	Yes
sdv-id-DofnTO	Male	0	No	Yes	63	Yes	Yes	Fiber optic	Yes	No	Yes	No	No	Yes	One year	Yes	Credit card (automatic)	96.82	3947.96	No
sdv-id-JiTlfR	Female	0	Yes	Yes	9	Yes	No	Fiber optic	No	No internet service	No	Yes	No	No	Month-to-month	Yes	Credit card (automatic)	51.88	117.98	Yes
sdv-id-bhRVZs	Female	0	Yes	No	65	Yes	Yes	No	Yes	Yes	No	No	No	Yes	Two year	Yes	Bank transfer (automatic)	101.26	6093.42	No
sdv-id-atJrij	Female	0	No	No	36	Yes	Yes	No	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	59.86	1168.65	No
sdv-id-xKMkmJ	Male	0	No	No	7	Yes	No	Fiber optic	No	Yes	No	No	No	No	Month-to-month	Yes	Mailed check	108.2	4513.78	No
sdv-id-QYnDDi	Male	0	Yes	No	42	Yes	No	DSL	No	Yes	No	No	No	No	Month-to-month	Yes	Bank transfer (automatic)	118.72	7525.07	Yes
sdv-id-JSXeas	Male	0	Yes	No	59	No	No	DSL	No	No	Yes	No	No	No	Month-to-month	No	Bank transfer (automatic)	91.91	4430.95	Yes
sdv-id-RwEXwB	Male	0	Yes	Yes	62	Yes	Yes	Fiber optic	No	Yes	No	Yes	Yes	Yes	Two year	No	Bank transfer (automatic)	60.33	7102.06	No
sdv-id-qznBbG	Male	0	Yes	Yes	69	Yes	Yes	Fiber optic	No	No	Yes	Yes	No internet service	Yes	One year	No	Mailed check	32.67	3711.96	No
sdv-id-oHiZpY	Female	0	No	Yes	19	Yes	No	DSL	No internet service	No internet service	Yes	Yes	Yes	Yes	One year	Yes	Electronic check	38.25	1207.63	No
sdv-id-iixvax	Female	0	No	No	57	Yes	Yes	DSL	No	Yes	No	No	No	No	Month-to-month	Yes	Mailed check	111.33	4499.06	Yes
sdv-id-fioaSK	Female	0	No	No	5	Yes	Yes	Fiber optic	No	Yes	No	No	Yes	Yes	Month-to-month	Yes	Mailed check	113.04	994.39	No
sdv-id-sokADt	Female	0	No	No	68	Yes	Yes	DSL	No	Yes	No	No	No	No	One year	Yes	Bank transfer (automatic)	118.73	8450.76	No
sdv-id-IAvIlw	Male	0	No	No	7	No	Yes	Fiber optic	No	No	No	No	No	No	Month-to-month	No	Electronic check	64.07	284.65	No
sdv-id-VcZgmq	Male	0	Yes	No	19	Yes	Yes	No	No internet service	No	No internet service	No internet service	No internet service	No internet service	Month-to-month	No	Electronic check	37.08	1818.82	No
sdv-id-zVRFKG	Male	0	No	No	48	No	Yes	Fiber optic	No	Yes	Yes	No	Yes	Yes	Month-to-month	No	Electronic check	89.46	3975.46	No
sdv-id-ESOUpb	Male	0	No	No	3	Yes	No	Fiber optic	Yes	No	No	Yes	No	No	Month-to-month	No	Credit card (automatic)	37.9	203.31	Yes
sdv-id-NEelCD	Female	0	Yes	Yes	59	Yes	No	Fiber optic	Yes	No	No internet service	No internet service	Yes	Yes	Two year	No	Credit card (automatic)	33.17	3311.94	No
sdv-id-FSTSsK	Female	0	Yes	No	35	Yes	No	No	Yes	No internet service	No internet service	No internet service	No internet service	No internet service	Two year	No	Electronic check	25.14	3160.08	No
sdv-id-PLIpBT	Male	0	No	No	10	Yes	Yes	Fiber optic	No internet service	No	No	Yes	Yes	Yes	Month-to-month	No	Electronic check	102.43	3020.61	No
sdv-id-FduiqA	Male	1	Yes	Yes	60	No	No	DSL	No	Yes	No	No	Yes	Yes	One year	No	Credit card (automatic)	107.96	7706.64	No
sdv-id-gxWIEv	Female	0	No	No	17	Yes	Yes	No	Yes	No internet service	Yes	No	Yes	Yes	Month-to-month	Yes	Electronic check	78.42	598.99	Yes
sdv-id-sFYJZm	Female	0	No	No	9	Yes	Yes	Fiber optic	No	Yes	No	Yes	Yes	No	Month-to-month	Yes	Electronic check	65.24	942.3	Yes
sdv-id-xxVnIQ	Female	0	No	No	2	Yes	No	No	No internet service	No internet service	Yes	No	Yes	Yes	Month-to-month	No	Mailed check	20.46	35.67	No
sdv-id-rlLViW	Female	0	No	No	47	Yes	Yes	Fiber optic	Yes	Yes	Yes	Yes	No	Yes	One year	Yes	Mailed check	56.72	3811.21	No
sdv-id-XXMlFt	Male	0	Yes	No	23	Yes	No	Fiber optic	No	Yes	No	No	No	No	Month-to-month	Yes	Credit card (automatic)	114.77	5700.8	Yes
sdv-id-lJgyrb	Female	0	Yes	No	55	Yes	Yes	No	Yes	No	Yes	Yes	No internet service	Yes	Two year	Yes	Electronic check	95.74	5104.0	Yes
sdv-id-gMRobY	Female	0	Yes	Yes	32	Yes	Yes	No	No internet service	Yes	No internet service	No	No internet service	Yes	Two year	Yes	Credit card (automatic)	58.92	4535.46	No
sdv-id-MuiUWQ	Female	0	No	No	10	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Month-to-month	No	Bank transfer (automatic)	24.67	411.84	No
sdv-id-HJoErq	Female	0	No	No	50	Yes	Yes	Fiber optic	No	Yes	Yes	Yes	No internet service	No internet service	Two year	No	Electronic check	89.28	1455.83	No
sdv-id-LtIzod	Female	0	Yes	No	72	Yes	Yes	Fiber optic	Yes	No	No internet service	No	Yes	No internet service	One year	No	Mailed check	61.0	5069.41	No
sdv-id-MkSrUR	Male	1	Yes	No	2	Yes	No	DSL	No	Yes	No	No	No	No	Month-to-month	No	Bank transfer (automatic)	92.06	775.43	Yes
sdv-id-PYFqHF	Male	0	Yes	No	72	Yes	No phone service	Fiber optic	No	Yes	Yes	Yes	Yes	Yes	Two year	Yes	Credit card (automatic)	83.76	7977.3	No
sdv-id-QdbtEt	Female	0	No	No	48	Yes	No	DSL	No	No	Yes	No	Yes	No	One year	No	Bank transfer (automatic)	37.25	1964.63	No
sdv-id-AlAEbN	Female	0	Yes	No	18	No	No	No	No internet service	No	No internet service	No internet service	Yes	Yes	One year	Yes	Mailed check	66.27	1610.24	No
sdv-id-OOuBpn	Male	1	No	No	8	Yes	No	DSL	No	No	Yes	No	Yes	No	Month-to-month	Yes	Mailed check	42.06	1209.28	Yes
sdv-id-ehPPJQ	Male	0	No	No	63	Yes	No	DSL	Yes	Yes	Yes	Yes	Yes	Yes	Two year	Yes	Credit card (automatic)	34.34	4526.29	No
sdv-id-RQOvat	Male	0	No	No	14	Yes	Yes	No	Yes	No internet service	No internet service	Yes	Yes	No internet service	Month-to-month	No	Electronic check	27.88	136.35	No
sdv-id-yBUqof	Male	0	No	Yes	56	No	No	No	No internet service	No internet service	No internet service	No	Yes	Yes	Month-to-month	No	Bank transfer (automatic)	18.7	500.93	Yes
sdv-id-NSzgfi	Female	0	No	No	3	Yes	No	No	Yes	No	Yes	No internet service	No internet service	No internet service	One year	No	Bank transfer (automatic)	25.04	105.99	Yes
sdv-id-NHPBfJ	Male	0	No	No	47	Yes	No phone service	Fiber optic	No	Yes	Yes	No	Yes	No	Two year	No	Electronic check	66.28	2920.98	No
sdv-id-SvAaUH	Female	0	No	No	7	Yes	Yes	No	No	No internet service	Yes	Yes	Yes	Yes	Month-to-month	Yes	Electronic check	67.05	463.41	No
sdv-id-Ochlnt	Female	0	No	No	72	Yes	Yes	Fiber optic	Yes	No	Yes	No internet service	No internet service	No internet service	Two year	Yes	Mailed check	92.34	7925.79	No
sdv-id-kxNXlc	Female	0	No	No	15	Yes	No	Fiber optic	Yes	No	Yes	Yes	No internet service	No internet service	Two year	No	Bank transfer (automatic)	67.03	1523.74	No
sdv-id-pNITQx	Male	1	No	Yes	19	Yes	Yes	No	No internet service	No internet service	No internet service	No	Yes	No internet service	Month-to-month	Yes	Bank transfer (automatic)	23.73	239.17	No
sdv-id-duxrZU	Female	1	No	Yes	3	Yes	No phone service	Fiber optic	Yes	No	Yes	No	No	No	Month-to-month	Yes	Bank transfer (automatic)	23.02	31.85	Yes
sdv-id-pAxkHC	Male	0	No	No	28	Yes	No	No	Yes	No internet service	Yes	No internet service	No internet service	No internet service	Two year	Yes	Credit card (automatic)	21.45	214.49	No
