log_id,customerID,mes_referencia,gb_download
LOG-0000001,0871-URUWO,2025-11-01,48.55
LOG-0000002,0871-URUWO,2025-10-01,39.76
LOG-0000003,0871-URUWO,2025-09-01,366.51
LOG-0000004,0871-URUWO,2025-08-01,357.73
LOG-0000005,0871-URUWO,2025-07-01,402.55
LOG-0000006,0871-URUWO,2025-06-01,416.67
LOG-0000007,0871-URUWO,2025-05-01,349.02
LOG-0000008,0871-URUWO,2025-04-01,430.97
LOG-0000009,0871-URUWO,2025-03-01,442.78
LOG-0000010,0871-URUWO,2025-02-01,482.21
LOG-0000011,0871-URUWO,2025-01-01,336.26
LOG-0000012,0871-URUWO,2024-12-01,526.86
LOG-0000013,0871-URUWO,2024-11-01,302.46
LOG-0000014,5151-HQRDG,2025-11-01,36.61
LOG-0000015,5151-HQRDG,2025-10-01,37.58
LOG-0000016,5151-HQRDG,2025-09-01,46.15
LOG-0000017,5151-HQRDG,2025-08-01,56.06
LOG-0000018,5151-HQRDG,2025-07-01,57.48
LOG-0000019,5151-HQRDG,2025-06-01,77.53
LOG-0000020,5151-HQRDG,2025-05-01,36.85
LOG-0000021,5151-HQRDG,2025-04-01,38.34
LOG-0000022,5151-HQRDG,2025-03-01,31.42
LOG-0000023,5151-HQRDG,2025-02-01,56.59
LOG-0000024,5151-HQRDG,2025-01-01,73.75
LOG-0000025,5151-HQRDG,2024-12-01,56.23
LOG-0000026,5151-HQRDG,2024-11-01,41.87
LOG-0000027,5151-HQRDG,2024-10-01,62.77
LOG-0000028,5151-HQRDG,2024-09-01,48.07
LOG-0000029,5151-HQRDG,2024-08-01,59.33
LOG-0000030,5151-HQRDG,2024-07-01,46.61
LOG-0000031,5151-HQRDG,2024-06-01,56.02
LOG-0000032,5151-HQRDG,2024-05-01,32.29
LOG-0000033,5151-HQRDG,2024-04-01,45.32
LOG-0000034,5151-HQRDG,2024-03-01,41.43
LOG-0000035,5151-HQRDG,2024-02-01,58.4
LOG-0000036,5151-HQRDG,2024-01-01,76.25
LOG-0000037,5151-HQRDG,2023-12-01,57.51
LOG-0000038,5151-HQRDG,2023-11-01,33.99
LOG-0000039,5151-HQRDG,2023-10-01,63.22
LOG-0000040,5151-HQRDG,2023-09-01,56.92
LOG-0000041,5151-HQRDG,2023-08-01,51.7
LOG-0000042,5151-HQRDG,2023-07-01,22.88
LOG-0000043,5151-HQRDG,2023-06-01,59.59
LOG-0000044,5151-HQRDG,2023-05-01,44.4
LOG-0000045,5151-HQRDG,2023-04-01,65.17
LOG-0000046,5151-HQRDG,2023-03-01,47.67
