fatura_id,customerID,data_vencimento,data_pagamento,valor_fatura,status
INV-0000001,6614-YWYSC,2025-11-15,2025-11-13,25.05,Pago em Dia
INV-0000002,6614-YWYSC,2025-10-15,2025-10-14,24.54,Pago em Dia
INV-0000003,6614-YWYSC,2025-09-15,2025-09-14,24.58,Pago em Dia
INV-0000004,6614-YWYSC,2025-08-15,2025-08-12,24.65,Pago em Dia
INV-0000005,6614-YWYSC,2025-07-15,2025-07-10,24.84,Pago em Dia
INV-0000006,6614-YWYSC,2025-06-15,2025-06-08,24.76,Pago em Dia
INV-0000007,6614-YWYSC,2025-05-15,2025-05-28,25.08,Pago com Atraso
INV-0000008,6614-YWYSC,2025-04-15,2025-04-12,25.05,Pago em Dia
INV-0000009,6614-YWYSC,2025-03-15,2025-03-13,25.15,Pago em Dia
INV-0000010,6614-YWYSC,2025-02-15,2025-02-11,25.34,Pago em Dia
INV-0000011,6614-YWYSC,2025-01-15,2025-01-11,25.56,Pago em Dia
INV-0000012,6614-YWYSC,2024-12-15,2024-12-13,25.45,Pago em Dia
INV-0000013,6614-YWYSC,2024-11-15,2024-11-14,25.18,Pago em Dia
INV-0000014,6614-YWYSC,2024-10-15,2024-10-08,24.5,Pago em Dia
INV-0000015,6614-YWYSC,2024-09-15,2024-09-10,25.04,Pago em Dia
INV-0000016,6614-YWYSC,2024-08-15,2024-08-14,24.76,Pago em Dia
INV-0000017,6614-YWYSC,2024-07-15,2024-07-10,24.99,Pago em Dia
INV-0000018,6614-YWYSC,2024-06-15,2024-06-08,24.73,Pago em Dia
INV-0000019,6614-YWYSC,2024-05-15,2024-05-09,24.0,Pago em Dia
INV-0000020,6614-YWYSC,2024-04-15,2024-04-12,24.84,Pago em Dia
INV-0000021,6614-YWYSC,2024-03-15,2024-03-12,25.26,Pago em Dia
INV-0000022,6614-YWYSC,2024-02-15,2024-02-12,24.9,Pago em Dia
INV-0000023,6614-YWYSC,2024-01-15,2024-01-13,24.77,Pago em Dia
INV-0000024,6614-YWYSC,2023-12-15,2023-12-13,24.96,Pago em Dia
