change_id,customerID,data_evento,tipo_alteracao,servico
CHG-000001,7590-VHVEG,2025-10-02,ADD,DSL
CHG-000002,7590-VHVEG,2025-10-06,ADD,OnlineBackup
CHG-000003,5575-GNVDE,2023-01-16,ADD,DSL
CHG-000004,5575-GNVDE,2025-04-29,ADD,OnlineSecurity
CHG-000005,5575-GNVDE,2025-05-21,ADD,DeviceProtection
CHG-000006,3668-QPYBK,2025-09-02,ADD,DSL
CHG-000007,3668-QPYBK,2025-10-12,ADD,OnlineSecurity
CHG-000008,3668-QPYBK,2025-10-15,ADD,OnlineBackup
CHG-000009,7795-CFOCW,2022-02-20,ADD,DSL
CHG-000010,7795-CFOCW,2023-09-19,ADD,OnlineSecurity
CHG-000011,7795-CFOCW,2024-10-28,ADD,DeviceProtection
CHG-000012,7795-CFOCW,2024-11-25,ADD,TechSupport
CHG-000013,9237-HQITU,2025-09-02,ADD,Fiber optic
CHG-000014,9305-CDSKC,2025-03-06,ADD,Fiber optic
CHG-000015,9305-CDSKC,2025-05-05,ADD,DeviceProtection
CHG-000016,9305-CDSKC,2025-04-07,ADD,StreamingTV
CHG-000017,9305-CDSKC,2025-10-20,ADD,StreamingMovies
CHG-000018,1452-KIOVK,2024-01-11,ADD,Fiber optic
CHG-000019,1452-KIOVK,2024-03-26,ADD,OnlineBackup
CHG-000020,1452-KIOVK,2025-09-16,ADD,StreamingTV
CHG-000021,6713-OKOMC,2025-01-05,ADD,DSL
CHG-000022,6713-OKOMC,2025-07-03,ADD,OnlineSecurity
CHG-000023,7892-POOKP,2023-07-15,ADD,Fiber optic
CHG-000024,7892-POOKP,2024-06-26,ADD,DeviceProtection
CHG-000025,7892-POOKP,2025-07-28,ADD,TechSupport
CHG-000026,7892-POOKP,2023-11-19,ADD,StreamingTV
CHG-000027,7892-POOKP,2025-09-13,ADD,StreamingMovies
CHG-000028,7892-POOKP,2025-10-01,REMOVE,StreamingTV
CHG-000029,6388-TABGU,2020-09-28,ADD,DSL
CHG-000030,6388-TABGU,2023-05-13,ADD,OnlineSecurity
CHG-000031,6388-TABGU,2025-05-03,ADD,OnlineBackup
CHG-000032,9763-GRSKD,2024-10-07,ADD,DSL
CHG-000033,9763-GRSKD,2024-10-29,ADD,OnlineSecurity
CHG-000034,8091-TTVAX,2021-01-26,ADD,Fiber optic
CHG-000035,8091-TTVAX,2024-05-29,ADD,DeviceProtection
CHG-000036,8091-TTVAX,2021-12-16,ADD,StreamingTV
CHG-000037,8091-TTVAX,2025-08-01,ADD,StreamingMovies
